district,province,year,month_name,vim,vim_avg,forest statust,viq,brightness,bright_t31,Fire Radiative Power,population,no2_ug_m3_avg,so2_ug_m3_avg,respiratory_cases,deaths,respiratory_cases_per_100k,deaths_per_100k,Petrol_Liters,Diesel_Liters,Kerosene_Liters,CO2_Petrol_Tons,CO2_Diesel_Tons,CO2_Kerosene_Tons,CO2_Total_Tons,Estimated_Vehicles,national_total_vehicles,national_buses,national_dpv,national_lorries,national_motor_cars,national_motorcycles,national_tricycles
Ampara,Eastern,2018,March,0.71155872,0.699393903,Healthy,101.6347297,322.6333333,303.4333333,10.43333333,720500,18.9089,31.7632,187,1,26.0692947,0.142177688,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,April,0.713429013,0.683114263,Healthy,104.13492,,,,721250,16.1735,29.8255,166,0,23.14861,0.126248749,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,May,0.724856,0.69424426,Healthy,104.11392,,,,722000,17.0963,28.142,156,0,21.67927843,0.118235254,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,June,0.723577773,0.69607917,Healthy,103.685353,316.6,294.74,11.32,722750,15.6038,23.904,177,0,24.54435267,0.133860903,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,July,0.6813864,0.66297264,Healthy,102.5683213,324.2769231,299.0769231,17.75384615,723500,12.9812,21.4266,198,1,27.40348689,0.149454155,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,August,0.61874672,0.629752123,Degraded,98.373785,321.7,291.0608696,14.61304348,724250,11.2426,21.3068,219,1,30.25669953,0.165015112,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,September,0.62066735,0.632959433,Degraded,98.19127667,326.50625,301.4125,17.98125,725000,14.4976,24.1906,250,1,34.54331371,0.188393608,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,October,0.68510339,0.672698457,Healthy,101.708533,312.375,292.85,31.225,725750,16.5213,25.8818,271,1,37.38325086,0.203882163,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,November,0.742241957,0.73024149,Healthy,101.5405517,314.9,300.1,8.6,726500,18.5027,28.9542,292,1,40.2173244,0.219338738,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,December,0.785521743,0.776660733,Healthy,101.0737537,,,,727250,23.0297,32.888,281,1,38.74099724,0.211287091,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2019,January,0.786106567,0.783309713,Healthy,100.3342967,,,,728000,20.445,28.6929,195,0,26.89627446,0.090458322,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,February,0.742531507,0.7432987,Healthy,99.900662,,,,728670,21.205,29.4635,184,0,25.37868023,0.085354306,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,March,0.687732183,0.699393903,Healthy,98.43509333,323.6866667,306.18,11.54,729330,19.2154,33.3076,195,0,26.84722664,0.090293363,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,April,0.6560111,0.683114263,Healthy,96.30311333,321.36,299.96,16.48,730000,16.9307,30.9313,174,0,23.8422987,0.080187103,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,May,0.672037867,0.69424426,Healthy,97.01344333,320.3076923,301.7461538,14.35384615,730670,17.3746,28.496,163,0,22.33165885,0.075106476,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,June,0.6835238,0.69607917,Healthy,98.31718333,320.7733333,299.3933333,12.42666667,731330,15.7255,24.6904,184,0,25.28637267,0.085043854,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,July,0.6561036,0.66297264,Healthy,99.04464,318.72,293.9,13.5,732000,13.1833,22.535,206,0,28.23537252,0.094962015,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,August,0.638324683,0.629752123,Degraded,101.2661813,323.45,292.485,19.46,732670,11.3762,20.5942,228,0,31.17897886,0.104862037,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,September,0.662210187,0.632959433,Degraded,104.275207,323.0625,299.3375,9.0125,733330,14.343,25.992,261,0,35.60104874,0.119734469,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,October,0.711402233,0.672698457,Healthy,105.3626033,315.3,290.9,52.7,734000,16.827,26.5629,282,0,38.53259786,0.129593939,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,November,0.75624692,0.73024149,Healthy,103.34428,,,,734670,18.5751,29.5947,304,1,41.45879999,0.139435426,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2019,December,0.78846255,0.776660733,Healthy,101.43308,,,,735330,24.2117,32.5702,293,0,39.94224594,0.134334908,1745.6578254773467,2355.331607432183,461.6812295501464,4.03246957685267,6.312288707918252,1.13573582469336,11.480494109464281,,734606.0,1613.0,13459.0,3738.0,38232.0,284301.0,15490.0
Ampara,Eastern,2020,January,0.778887083,0.783309713,Healthy,99.46495533,,,,736000,15.1199,21.1142,129,0,17.54705726,0.08947508,48.95700076974797,59.93526746893647,12.617836618610328,0.1130906717781177,0.1606265168167497,0.0310398780817814,0.3047570666766489,94.80522384561294,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,February,0.71945872,0.7432987,Healthy,96.98284867,321.5375,300.18125,14.9625,737330,16.3381,22.5494,121,0,16.54232768,0.084351813,44.15729481192952,54.05926085433484,11.380793812864212,0.1020033510155571,0.1448788190896173,0.0279967527796459,0.2748789228848204,85.51059405682736,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,March,0.661351917,0.699393903,Healthy,94.91936467,317.7555556,299.9,10.36666667,738670,14.0976,24.0112,129,0,17.48363159,0.089151662,180.46894401397284,220.9378487090207,46.51280949605375,0.4168832606722772,0.5921134345401754,0.1144215113602922,1.1234182065727447,349.4780800583379,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,April,0.659303387,0.683114263,Healthy,96.75055533,319.62,299.3,13.44,740000,12.8553,24.0347,114,0,15.51307405,0.079103494,1484.5490527532395,1817.4488458962796,382.617339817272,3.429308311859983,4.870762907002028,0.9412386559504892,9.2413098748125,2874.8289936713813,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,May,0.717295867,0.69424426,Healthy,103.0888033,316.62,297.06,10.32,741330,12.7803,21.4434,107,0,14.51741481,0.074026478,2162.747504592983,2647.728580539488,557.4114882691973,4.995946735609791,7.095912595845826,1.3712322611422256,13.46309159259784,4188.160182826784,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
