Year,Month,Month_Name,District,Monthly_Share,Diesel_Liters_Monthly,Kerosene_Liters_Monthly,Petrol_Liters_Monthly
2022,3,March,Kalutara,0.009792431700393258,920881.2563481521,57262.22361121962,
2022,4,April,Kalutara,0.08055316821626689,7575227.99437456,471042.7064614422,
2022,5,May,Kalutara,0.1173529181967341,11035880.162512695,686232.9244472224,
2022,6,June,Kalutara,0.13995885095189725,13161744.339401513,818423.3768263144,
2022,7,July,Kalutara,0.12511394119332236,11765727.541214155,731616.2825220719,
2022,8,August,Kalutara,0.10938354558949917,10286439.565591061,639631.2211891554,
2022,9,September,Kalutara,0.10677917545641585,10041524.337838892,624401.9063989373,
2022,10,October,Kalutara,0.10547699038987417,9919066.723962806,616787.2490038282,
2022,11,November,Kalutara,0.10157043519024922,9551693.882334556,593943.2768185013,
2022,12,December,Kalutara,0.0989660650571659,9306778.654582387,578713.9620282833,
2022,1,January,Matara,0.0026564575357449797,175067.48495976246,13044.26908352215,
2022,2,February,Matara,0.002396020522436648,157904.00604213867,11765.419173372917,
2022,3,March,Matara,0.009792431700393258,645346.8073026537,48084.75662161106,
2022,4,April,Matara,0.08055316821626689,5308664.029221033,395548.27720915695,
2022,5,May,Matara,0.1173529181967341,7733863.600281271,576249.7695132431,
2022,6,June,Matara,0.13995885095189725,9223653.570331013,687253.9417141962,
2022,7,July,Matara,0.12511394119332236,8245335.272026459,614359.4968356901,
2022,8,August,Matara,0.10938354558949917,7208661.1454019835,537116.9622626767,
2022,9,September,Matara,0.10677917545641585,7037026.356225746,524328.4631611845,
2022,10,October,Matara,0.10547699038987417,6951208.9616376255,517934.2136104381,
2022,11,November,Matara,0.10157043519024922,6693756.77787327,498751.46495819977,
2022,12,December,Matara,0.0989660650571659,6522121.988697032,485962.9658567074,
2022,1,January,Galle,0.0026564575357449797,202379.56090319552,14893.960465661377,
2022,2,February,Galle,0.002396020522436648,182538.4274813136,13433.768263145555,
2022,3,March,Galle,0.009792431700393258,746026.6166627599,54903.22681459488,
2022,4,April,Galle,0.08055316821626689,6136862.567388076,451637.4482381436,
2022,5,May,Galle,0.1173529181967341,8940414.719899992,657962.6064536291,
2022,6,June,Galle,0.13995885095189725,10662625.10091934,784707.2896320024,
2022,7,July,Galle,0.12511394119332236,9531680.495872071,701476.3340886005,
2022,8,August,Galle,0.10938354558949917,8333276.037190405,613280.725056645,
2022,9,September,Galle,0.10677917545641585,8134864.702971585,598678.8030314868,
2022,10,October,Galle,0.10547699038987417,8035659.035862174,591377.8420189075,
2022,11,November,Galle,0.10157043519024922,7738042.034533947,569474.9589811703,
2022,12,December,Galle,0.0989660650571659,7539630.700315127,554873.036956012,
2022,1,January,Hambantota,0.0026564575357449797,149771.5540276584,12527.056801312601,
2022,2,February,Hambantota,0.002396020522436648,135088.06833867225,11298.913977654502,
2022,3,March,Hambantota,0.009792431700393258,552099.061905878,46178.170169544486,
