Year,District,Petrol_Liters,Diesel_Liters,Kerosene_Liters,LPG_Kg,Other_Liters,Total_Fuel_MJ,Data_Source
2017,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2018,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2019,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2020,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2021,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
