Year,Month,District,Petrol_Liters,Diesel_Liters,Kerosene_Liters,CO2_Petrol_Tons,CO2_Diesel_Tons,CO2_Kerosene_Tons,CO2_Total_Tons
2022,8,Ampara,1895.7879052741926,2628.082073693576,299.32655462637626,4.379270061183385,7.043259957498784,0.7363433243808857,12.158873343063055
2022,9,Ampara,1850.6500980057594,2565.508690986586,292.19973189717683,4.275001726393304,6.875563291844051,0.7188113404670551,11.869376358704411
2022,10,Ampara,1828.0811943715428,2534.221999633091,288.63632053257714,4.222867558998264,6.7917149590166845,0.7100453485101397,11.724627866525088
2022,11,Ampara,1760.3744834688935,2440.3619255726067,277.946086438778,4.0664650568131435,6.540169960534586,0.683747372639394,11.290382389987125
2022,12,Ampara,1715.2366762004601,2377.788542865617,270.8192637095786,3.962196722023063,6.372473294879853,0.6662153887255633,11.00088540562848
2022,1,Trincomalee,29.08804865668552,61.39179080651427,10.704044444063872,0.06719339239694355,0.1645299993614583,0.026331949332397124,0.258055341090799
2022,2,Trincomalee,26.23627918053987,55.37298778626776,9.654628322096823,0.060605804907047096,0.14839960726719761,0.023750385672358182,0.23275579784660289
2022,3,Trincomalee,107.22653230307601,226.30699356126826,39.45804618596093,0.2476932896201056,0.6065027427441991,0.0970667936174639,0.9512628259817686
2022,4,Trincomalee,882.0522989718461,1861.6157741622415,324.58440652440737,2.0375408106249644,4.9891302747548085,0.7984776400500422,7.825148725429814
2022,5,Trincomalee,1285.0073259512249,2712.0726409230715,472.866904558351,2.9683669229473293,7.268354677673834,1.1632525852135434,11.399974185834706
2022,6,Trincomalee,1532.5409164806658,3234.5047430804666,563.9562239450904,3.540169517070338,8.668472711455653,1.3873323109049225,13.595974539430912
2022,7,Trincomalee,1369.9900563403648,2891.4329709264166,504.1395049929689,3.1646770301462426,7.749040362082799,1.2401831822827036,12.153900574511745
2022,8,Trincomalee,1197.7431799811682,2527.8972685035283,440.75477122615933,2.766786745756498,6.774764679589458,1.0842567372163519,10.625808162562308
2022,9,Trincomalee,1169.2254852197118,2467.709238301063,430.26061000648883,2.700910870857534,6.613460758646851,1.0584411006159626,10.372812730120348
2022,10,Trincomalee,1154.9666378389836,2437.615223199831,425.0135293966536,2.667972933408052,6.532808798175548,1.045533282315768,10.246315013899368
2022,11,Trincomalee,1112.1900956967993,2347.3331778961337,409.272287567148,2.569159121059606,6.29085291676164,1.006809827415184,9.86682186523643
2022,12,Trincomalee,1083.6724009353427,2287.1451476936686,398.77812634747755,2.503283246160642,6.129548995819034,0.9809941908147948,9.61382643279447
2022,1,Anuradhapura,143.71887720403305,119.64728644364973,4.821602472975969,0.3319906063413164,0.3206547276689813,0.011861142083520881,0.6645064760938186
2022,2,Anuradhapura,129.6287912036376,107.91716032172324,4.348896348174401,0.29944250768040287,0.28921798966221834,0.010698285016509027,0.5993587823591303
2022,3,Anuradhapura,529.7872336148669,441.0527421844342,17.77375029253886,1.2238085096503424,1.1820213490542837,0.043723425719645596,2.449553284424272
2022,4,Anuradhapura,4358.063599922296,3628.1280095118486,146.2080044011242,10.067126915820504,9.723383065491756,0.35967169082676553,20.150181672139027
2022,5,Anuradhapura,6348.992751778165,5285.594830540055,213.00137983558542,14.666173256607562,14.16539414584735,0.5239833943955401,29.355550796850455
2022,6,Anuradhapura,7572.012216612483,6303.7697779232685,254.03227146836122,17.49134822037484,16.89410300483436,0.6249193878121686,35.01037061302137
2022,7,Anuradhapura,6768.877314589948,5635.152588973462,227.08802235467203,15.63610659670278,15.10220893844888,0.5586365349924932,31.296952070144158
2022,8,Anuradhapura,5917.8361201660655,4926.652971209105,198.5365724166575,13.67020143758361,13.203429962840403,0.4883999681449773,27.362031368568996
2022,9,Anuradhapura,5776.935260162111,4809.351709989841,193.80951116864182,13.344720450974478,12.889062582772773,0.4767713974748588,26.710554431222114
