"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8386316516932","92.5031982942431","91.1602489500582","87.2657603275419","89.5908030277161","90.8706876320113","90.9990050915901","89.8313138512711","89.1599066562951","91.7143485915493","91.7963527461362","93.1418028465999","89.1984385861719","88.4008268345391","87.329838116262","86.8441762854145","89.7404555270342","89.1792923513526","89.6871967841796","87.7570489718041","81.5766969535008","86.8138366019513","92.078475726466","93.0418771944849","94.0189259139437","92.5915424497732","91.2191407502405","91.875","91.8625391414642","92.6741331696839","94.5276519989164","94.1980134112669","93.302110954234","92.7555024739805","",
"Burundi","BDI","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","2.89074212893553","11.537196605933","8.24340718983462","1.88494651708844","11.8733916623778","14.5627464625377","13.8922503509366","11.7009908684671","15.935971542908","17.6538754428368","22.5831245729902","29.7182282879662","38.6958150604932","","","",
"Belgium","BEL","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4688041961","37.9239879893238","37.0162686050537","38.1243470649688","40.8415190013716","41.3544242554564","40.0872547602465","37.0923344284754","41.4820335885938","38.8030385498261","39.0468028376899","37.8446774658298","38.3823368141442","40.4395604395604","39.4216838855243","39.3669172230263","38.5153747029685","38.368027967583","37.6189291342315","39.1388745709178","39.3218404168737","34.3932389642199","35.3654425045154","31.4170050183848","32.8223861051761","37.7792123950936","29.0879143985235","29.5708793682679","35.2936473034022","30.0211439067105","32.1621410125988","24.6096276908072","25.590169572785","24.2837849143649","",
"Benin","BEN","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","96.6101694915254","97.4683544303797","97.2222222222222","97.6190476190476","96.969696969697","96.8253968253968","97.5","98.7654320987654","99.0654205607477","97.4025974025974","98.6363636363636","98.6899563318777","99.21875","99.1304347826087","100","100","100","100","98.1818181818182","96.3768115942029","97.583081570997","96.5346534653465","98.4848484848485","99.0899898887765","98.5790408525755","96.6033966033966","","",
"Burkina Faso","BFA","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1086956521739","93.298969072165","90.0497512437811","78.1395348837209","66.2037037037037","61.3168724279835","72.992700729927","79.8045602605863","76.9230769230769","65.2777777777778","74.8717948717949","85.2459016393443","82.4657534246575","78.4269662921348","78.4810126582278","80.4642166344294","85.4014598540146","81.8627450980392","78.0645161290323","81.1428571428571","85.0588235294118","89.9233296823658","90.4424778761062","91.5625","93.1818181818182","94.3326271186441","91.3093858632677","91.9141914191419","88.9321468298109","85.8611825192802","82.9158638407193","83.6222355050807","85.9796285200719","","",
"Bangladesh","BGD","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5669943093637","89.8669891172914","91.0501461659546","93.3956115576798","91.3430089942764","96.5574680732926","93.5593515774795","93.9365828976219","93.2852041608446","94.2352941176471","95.1366432058842","94.2904783808648","95.8907045271899","96.1038961038961","96.8847478225643","97.0888468809074","97.3828548212351","97.4914554717224","97.0138807885221","98.7375772226699","97.994809519146","97.6268966763006","97.9813122497176","97.8564073762052","98.4731328392246","98.5341443278125","98.1947626366616","98.1805572553339","98.222587165235","98.650554824149","98.434741948682","98.6267845003399","98.3771055614179","","",
"Bulgaria","BGR","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.7436937898958","61.7615388380402","61.7663577646728","58.115114351133","55.9358036346472","53.1575294934074","50.8357524112745","51.6692755180712","51.5091942173527","50.7817402217109","48.333496236927","50.5913391557496","46.2569413528902","51.6737089201878","51.471612887725","47.2444494533979","47.4314508212813","58.5883548513754","57.412793924995","54.4455823480123","53.5142434570124","58.5684193948462","53.8165517824671","50.1129750085587","49.8168035375869","49.9075710484084","48.0023852116875","50.9427343681487","44.8641031663001","44.5839732586503","39.5593070618835","43.070972082072","48.1950137626488","34.6689852192274","",
"Bahrain","BHR","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9661647775334","99.9637495091079","99.9610475220231","99.932273262662","99.8569304569809","","",
"Bahamas, The","BHS","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","99.9933219063731","99.9931233037482","99.9850148159964","99.9762599024592","99.9283562811865","99.9048587644762","99.8869857160971","99.8238780328365","99.8128531621095","99.7877349794846","99.7759497604134","99.7812538916774","99.7407058562801","99.6853311375132","99.5191241921457","","","",
"Bosnia and Herzegovina","BIH","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.1006014215418","62.727602466449","47.7701149425287","28.8548241659152","18.4967012252592","17.2233583276528","29.7547683923706","46.8910439247005","49.7961881678969","45.5190072877684","51.1554319685492","51.297236322617","51.1543810848401","60.0479318302858","53.0248271527341","52.404380257102","55.9921857389736","66.0471826205024","67.165890845308","60.1799846821547","53.1301097874328","71.2892670157068","70.06817213464","58.5353274883961","63.2735148514851","64.4826924307377","68.1150447458772","75.5809709210366","65.2870563674321","63.0480763734065","70.4693611473272","60.6603366422098","67.803955078125","56.9042769857434","",
"Belarus","BLR","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9494003946769","99.9535303988641","99.954781220907","99.9430609248105","99.9394846641399","99.9197367364957","99.9325691166554","99.9194074528917","99.880810488677","99.9283451500981","99.8965556875216","99.8803016398675","99.8903840338675","99.894843579825","99.8910605575136","99.8804948160589","99.8805444657508","99.842910553269","99.7917142204976","99.6345799315249","99.6016621292449","99.5403726708075","99.3408876911588","99.0541784365379","99.1708651216352","99.0405492635409","98.745754632664","97.722729248153","97.9325911865798","97.4175213147164","95.5925080419218","82.9263561192075","79.2664974619289","","",
"Belize","BLZ","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.5402040685362","43.348271446863","44.6746866536499","65.8386067674285","61.2645760217367","56.8196939454425","22.408065512979","24.19452199502","14.4120214017379","31.6353272620062","10.2731435187622","9.08480764584284","12.746173837713","9.60004297724892","9.91697651912596","12.91107811397","13.5457433583498","13.3103745157124","20.3261562506426","39.8235680089431","5.71325388226797","7.13982421128614","","","",
"Bermuda","BMU","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.7304023226877","41.1247803163445","45.8540630182421","41.7201056205206","51.8413597733711","56.6743954951971","54.5398394070414","53.5426267281106","56.711590296496","52.6410718886885","48.479381443299","45.1645315247425","46.0692951015532","53.069671188779","51.431718061674","58.8845918990434","56.1578318055002","56.5584296459365","60.0370183409053","61.8558356076417","66.1169415292354","65.8094435075885","67.2763954270343","66.0158244002042","71.2581344902386","70.3055801594331","79.1877081766412","74.6984193011647","70.2943532238686","63.4236693312536","64.0809781519343","61.7428072433128","63.4028751753156","","",
"Brazil","BRA","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49553677615665","4.75899938987187","4.85289494150547","4.56987967107978","4.57350956195369","4.92850171080656","5.60564134606802","5.99320739523738","6.06188694257618","8.6655552767122","8.66785130836032","11.2332119765729","10.1394100170393","9.04597092268464","10.8333139761468","10.2304277813479","9.80881725199541","8.74475173369696","12.6132935406755","8.0993990830707","12.3863466695623","9.79206667707242","14.4791555409929","20.431540997621","24.7781154403478","23.9358500667518","17.496765847348","18.4521151024054","15.3787118970097","15.5892593107457","14.1946739953305","20.0315801185474","9.83892135919607","8.72701371969316","",
"Barbados","BRB","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9806567048697","99.9813771590856","99.981631575322","99.9821318889944","99.9687846138355","99.9696277935082","99.9114420659709","99.9118140699229","99.8840666429814","99.8494005168963","99.7489635236393","99.6978638443734","99.5736088375695","99.0200644234874","98.6590368836746","98.6720276354164","97.6888409172679","97.6988072443656","96.5908301493574","94.5545732743965","92.674920433906","","","",
"Brunei Darussalam","BRN","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9463087248322","99.9491094147583","99.9545661063153","99.9556147359077","99.9523809523809","99.9765807962529","99.951888381044","99.9534125320289","99.9594484995945","99.947689625109","99.9122653097035","99.875044626919","","",
"Bhutan","BTN","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.013210442346581","0.018630068931255","0.0248851994102677","0.0524465911830513","0.0700366156341385","0.0683619907331524","0.0496599132904435","0.0315735157741285","0.0147867091143796","0.00343863188299482","0.00428695137739748","0.00452813314975527","0.00263776458244187","0.00715191055343868","0.000139576107361942","0.000258147456408575","0","0.00388454108031677","0","0","0","0","","","",
"Botswana","BWA","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","100","99.7150997150997","99.7835497835498","99.8704103671706","99.8989558773998","99.8141954663694","99.8015873015873","99.8547778100494","","99.7707473635947","99.7509339975093","99.7645211930926","","",
"Central African Republic","CAF","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.291002211616808","0.29442939583088","0.29442939583088","0.291002211616808","0.19698999290836","0.183755972069092","0.175994368180218","0.179791441927364","0.196772924045651","0.178507675830061","0.177242112725984","0.175821084464449","0.175635801601799","0.175635801601799","0.16294721927028","0.273361628659809","4.37150533730303","3.52692857629196","3.52692857629196","3.52692857629196","3.52692857629196","3.52692857629196","","","",
"Canada","CAN","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.440440929747","21.8417931781947","22.7834549131417","20.5797705082889","20.1534563619701","21.4768797461585","20.6482816756188","23.2186037118987","26.8162404560471","26.076847181879","27.3344800346979","28.9157972985101","27.5059475551893","28.338447098369","26.4461502597576","25.3004814463673","24.3627315273639","24.8112534932427","23.4418133348486","21.8486428965553","23.1594576098178","22.3175640598792","20.8860529348804","19.8076405805735","20.1646171702536","20.4158755714872","19.8030142960406","18.0987178114581","18.7047280839537","18.5707499463667","17.8186826755096","18.2310583647849","17.8645505923368","19.6730816016379","",
"Central Europe and the Baltics","CEB","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.1355412981909","73.7145688184061","74.4714498902409","73.5338978727746","73.0064872424371","71.8319775671244","71.5310442697442","70.8209262525499","69.7271578847947","69.8783632395264","70.6343888519244","69.9177265239626","68.1544368504611","70.1887203863807","68.1196774436657","67.2898392709691","68.403791385767","70.0975687112417","67.3697561793748","64.6292523712515","64.7736328030048","66.5203331985982","64.1422672672673","61.3315174398467","58.2257823347218","59.4757423640875","59.7080202175744","59.6953055359892","58.9351929752401","56.6498539380749","53.4475571312478","55.0904064192644","54.3484779077999","51.4390377638041","",
"Switzerland","CHE","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33513725210952","1.75890618021918","2.07135794607096","1.31764477074926","1.41017133204633","1.72452087828405","2.05558067545477","1.81956507956635","2.34602719437836","1.71901680274354","1.6039691943128","1.50760012701393","1.66093161132711","1.73467873571747","1.74582602729283","1.81565182403433","1.5376689874801","1.34854619065145","1.24312798270935","1.1890328517799","1.61321241613212","1.56600591120808","1.3788857228769","1.1365578533584","0.748505080635045","0.981058479359357","1.41052431610942","1.20138206485561","0.930360424232778","0.873647683200653","0.88764829030007","0.805608976785741","0.625942340201946","0.408787579354874","",
"Channel Islands","CHI","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.1626387981711","29.0266018736536","17.3053704780217","18.3352080989876","25.7348577758437","27.5948192814072","39.5470666710051","37.865273147731","51.8291137458109","61.9692628288617","51.4521682718699","45.7384025769439","44.5490142199629","49.8430459757842","53.0991251366974","46.1169118207454","44.7451193058568","55.8444000068366","54.2509714591987","51.0128124897072","59.6121388622299","60.403573113387","63.5546443778584","64.1086703620064","56.6944157844897","56.4112764208237","56.7423803161318","56.0980829022066","53.7558143771481","53.4177724165661","51.3042753562797","51.1577177395533","44.6774849207308","36.4177848633807","",
"China","CHN","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5920601093248","81.5288692123224","82.4153163296294","81.6834228094261","80.3218977748331","79.5126369908544","81.1204917425757","81.2182186976181","80.7311349036403","82.1128985819327","82.1259712422312","79.8616967903689","80.8626593251939","82.695112664889","81.4869693787435","81.7018507750155","82.4936129470326","82.843478711313","80.2899470319582","80.2483727723448","79.1974463835848","80.9863773842652","77.7146982055628","77.2726663578868","75.1358276643211","72.836485040317","71.3347832636917","70.9002577594408","69.5798997682015","67.9441024354279","66.6281115933715","66.2498687355151","64.7954007326624","64.4035322187705","",
"Cote d'Ivoire","CIV","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3333333333333","30.9851403412218","43.3513513513514","49.7714808043876","50.275307073274","39.4638615541228","45.3038674033149","53.3862565120317","65.7633018398807","63.587294996886","63.25","63.1525076765609","67.3403853418965","63.9866325928838","66.3339382940109","72.7688787185355","71.3174182139699","66.0451074409519","65.2413793103448","62.4765797990121","71.7183570829841","69.8639121167405","73.560433295325","78.1176470588235","76.0680666183925","83.2644628099173","82.8352731466918","79.3724470850353","69.9135274823576","66.9958615500376","69.4360434086462","76.1385281385281","75.8988764044944","","",
"Cameroon","CMR","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.52020763811643","1.43911439114391","1.27877237851662","1.0593220338983","1.17647058823529","1.14901256732496","1.13753877973113","1.15089514066496","1.64141414141414","1.24407582938389","1.09195402298851","1.89212086981079","3.57575757575758","4.23452768729642","4.62287104622871","5.79420579420579","11.1829220524873","25.1764257104711","24.1506776975885","29.3222683264177","26.7796610169492","24.696151249156","21.2099125364431","30.3728070175439","35.7204735778227","44.8465873512837","36.2840079628401","36.3872403560831","40.8196530445919","37.6399858540611","41.8150289017341","32.539013074652","28.5742931622218","","",
"Congo, Dem. Rep.","COD","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.442477876106195","0.416587767468283","0.312860200889182","0.306582506762849","0.338855421686747","0.291403593977659","0.294647241774431","0.376759865159627","0.401861252115059","0.452232899943471","0.0501588363149975","0.0838785438684784","0.131169044105591","0.113858165256994","0.113186191284663","0.0947995666305525","0.609029524692175","1.10154469485946","1.28154313647774","1.0930350788002","1.08558444837162","1.11125142063392","0.11823436678928","0.107874865156419","0.124279742401988","0.178691087781997","0.153189626873837","0.0735603194619588","0.0552638850511191","0.0423119235000423","0.0399616368286445","0.0151664518085994","0.030188679245283","","",
"Congo, Rep.","COG","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.608519269776876","0","0.934579439252336","0.828729281767956","0.617283950617284","0.564971751412429","0.436681222707424","0.441501103752759","0.581395348837209","14.4144144144144","0.334448160535117","0.0412979351032448","0.143939393939394","14.3208020050125","14.4451612903226","18.0600461893764","17.9271523178808","17.7346437346437","18.7028199566161","38.7755102040816","45.280612244898","38.8244392884764","42.0482352941176","42.5731414868105","42.3021181716834","60.3249097472924","61.8015577378937","59.3792172739541","64.5994832041344","76.7715458276334","76.3020833333333","75.6519619790397","77.4586076201875","","",
