"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",12,2003,113.47933236016928844,62263.833784782456015
"LKA",13,2003,33.79331360683701410,8522.705851174049794
"LKA",14,2003,71.39317761216038182,31830.6036648003885255
"LKA",15,2003,24.48128567296007308,5868.231323685071783
"LKA",16,2003,35.15287404453341380,16977.54940489056163
"LKA",17,2003,72.75572199728327110,43611.456449240816676
"LKA",18,2003,1094.90388468020310758,448253.339440506942309
"LKA",19,2003,50.90196391334961131,13193.813425231738895
"LKA",20,2003,101.82262606676024297,52689.623077510521087
"LKA",21,2003,37.47853898113986117,12045.853849347101882
"LKA",22,2003,135.82893131157118621,41495.998435406527067
"LKA",23,2003,121.38055397313233173,69795.789468713849195
"LKA",24,2003,74.41301734451608254,21156.319434800077056
"LKA",25,2003,83.96487458079207743,19476.458282513209025
"LKA",1,2004,424.99996483749734468,152368.244157298055556
"LKA",2,2004,1212.97994518926791365,304614.956819692919625
"LKA",3,2004,238.96885357818014294,133726.701313106459139
"LKA",4,2004,62.95005378730497623,18547.146400612733062
"LKA",5,2004,48.58398573425589729,25720.383138096540485
"LKA",6,2004,148.09548152686574959,87673.707760022130635
"LKA",7,2004,66.95977674903512407,31239.853458487684015
"LKA",8,2004,191.97911359836654135,63869.094914752766448
"LKA",9,2004,1.1378911516780601,250.461840322373035
"LKA",10,2004,108.39481739826825970,57899.504302805942881
"LKA",11,2004,201.44052515107158496,123395.997789745426426
"LKA",12,2004,98.04817008015567979,55567.177806408955074
"LKA",13,2004,51.71280008013131719,13606.101500878998794
"LKA",14,2004,496.91389229532181614,164707.118434743170485
"LKA",15,2004,58.01181265576930127,13986.223525812295897
"LKA",16,2004,176.15893660619769662,81166.5316114661625165
"LKA",17,2004,71.06727479902533660,44123.770674440809093
"LKA",18,2004,556.12977545066878253,220222.4472988506473135
"LKA",19,2004,115.98731807802842838,29350.689060526406539
"LKA",20,2004,264.81242624771870553,149696.189516485479716
"LKA",21,2004,88.68879326121421753,29545.584879268221969
"LKA",22,2004,382.34673661269799845,108664.3705930276248195
"LKA",23,2004,112.89319655877902267,62715.461878329357304
"LKA",24,2004,252.79580232793676567,68458.542921122866932
